SupplierPartNumber,Partnumber,Cost,CoreCost,TotalCost,Inventory
Wix 49201,52893363,12.53,0.00,12.53,99
Lares 12036,52893474,139.79,0.00,139.79,99
Pioneer FRG132F,52893826,22.89,0.00,22.89,99
FS7916PT2,52894120,74.79,0.00,74.79,99
Wix 42057,52894229,6.41,0.00,6.41,99
BC97147,52894354,23.89,0.00,23.89,99
473228,52894435,5.78,0.00,5.78,99
A350C,52894590,1.05,0.00,1.05,99
REMY 94835,52894600,180.79,0.00,180.79,99
BS40647,52894604,20.99,0.00,20.99,99
A3223C,52894709,28.79,0.00,28.79,99
PVS14,52899862,29.89,0.00,29.89,99
Dorman 82581,52899908,3.34,0.00,3.34,99
Lares 10022,52899911,150.89,0.00,150.89,99
26066,53076634,6.52,0.00,6.52,99
GMB 1251290,53076635,22.89,0.00,22.89,99
H5200,53077008,6.90,0.00,6.90,99
090115,53077009,3.16,0.00,3.16,99
6022C,53077011,12.24,0.00,12.24,99
FelPro VS50811R,53077013,66.79,0.00,66.79,99
SYB23,53077369,140.79,0.00,140.79,99
ER690,53077370,32.79,0.00,32.79,99
ERV909X,53077373,5.45,0.00,5.45,99
122.61010,53077431,48.79,0.00,48.79,99
19351859,53077598,15.17,0.00,15.17,99
280214,53077629,63.79,0.00,63.79,99
OSC 98575,53077669,30.79,0.00,30.79,99
USA21499,53077729,317.79,0.00,317.79,99
BS734,53077892,28.79,0.00,28.79,99
ALS107,53077893,56.79,0.00,56.79,99
PDR0037,53077953,33.79,0.00,33.79,99
613313,53078007,9.26,0.00,9.26,99
K14,53078109,77.79,0.00,77.79,99
218180,53078111,10.45,0.00,10.45,99
FH15416,53078232,13.18,0.00,13.18,99
MRM1791,53079652,0.88,0.00,0.88,99
ZMBK128WS,53082879,97.79,0.00,97.79,99
P15268,53082925,158.40,0.00,158.40,99
EngineTechP152620,53082926,0.60,0.00,0.60,99
NATIONAL A6,53082978,6.39,0.00,6.39,99
Lares 195,53083097,9.93,0.00,9.93,99
643008,53083320,491.89,0.00,491.89,99
841835,53083458,77.79,0.00,77.79,99
2203058,53083462,11.60,0.00,11.60,99
2203215,53083463,12.79,0.00,12.79,99
929913,53083631,172.79,0.00,172.79,99
ACC 18044360,53083745,70.99,0.00,70.99,99
EV-152-D,53083804,30.79,0.00,30.79,99
2203034,53083824,7.75,0.00,7.75,99
1R2092,53083959,8.28,0.00,8.28,99
ZMBK135WS,53083988,157.79,0.00,157.79,99
MOOG K8802,53084001,11.61,0.00,11.61,99
ZMBK177WS,53084008,142.79,0.00,142.79,99
Dorman 803120,53084040,22.00,0.00,22.00,99
DORMAN 175122,53084048,0.26,0.00,0.26,99
DORMAN 175130,53084049,0.78,0.00,0.78,99
DORMAN 807135,53084052,10.08,0.00,10.08,99
DORMAN 807140,53084054,12.74,0.00,12.74,99
642812,53084200,317.79,0.00,317.79,99
642811,53084201,280.79,0.00,280.79,99
H620561,53084235,15.94,0.00,15.94,99
H620562,53084236,16.57,0.00,16.57,99
Dorman HW7047,53084267,5.43,0.00,5.43,99
DORMAN HW7045,53084271,5.87,0.00,5.87,99
MOTORCRAFT FA97R,53084391,12.54,0.00,12.54,99
MOOG 505,53084406,27.79,0.00,27.79,99
WIX 42095,53084470,8.96,0.00,8.96,99
FEL TCS46182,53084547,37.79,0.00,37.79,99
Champion 431,35233971,1.74,0.00,1.74,99
WAGNER 3157,38000896,0.55,0.00,0.55,99
Dorman 700525BX,38003499,6.20,0.00,6.20,99
dorman-610153,38004102,1.91,0.00,1.91,99
2623R,38004175,24.99,0.00,24.99,99
Raybestos BH36529,38004889,26.79,0.00,26.79,99
MOOG-507,38004969,5.40,0.00,5.40,99
MOOG-429,38006232,5.40,0.00,5.40,99
Raybestos MC36222,38006920,51.79,0.00,51.79,99
ACDELCO-R45,38022154,1.81,0.00,1.81,99
Dorman-03099,50723250,4.91,0.00,4.91,99
Continental 15430,52557033,11.52,0.00,11.52,99
GF61F,52557672,2.64,0.00,2.64,99
Dorman-03147,52678659,5.79,0.00,5.79,99
263PG,52700833,21.99,0.00,21.99,99
Motorcraft AD1044,52779482,167.79,0.00,167.79,99
Moog 255,52821442,18.11,0.00,18.11,99
Wix 51143,52888211,6.04,0.00,6.04,99
Melling SYb25,52893684,139.79,0.00,139.79,99
VC13G,53077007,84.06,0.00,84.06,99
